user_message,support_response,приказной_тон,отказ_помочь,наезды_оскорбления,канцелярит
Где посмотреть условия по вкладу?,"Настоящим сообщаем, что ознакомление с актуальной процентной ставкой доступно в приложении к договору.",0,0,0,1
Мне нужно перевести крупную сумму.,"Немедленно предоставьте документы, подтверждающие легальность происхождения ваших средств, иначе перевод отклонят.",1,0,0,1
Помогите настроить бесконтактную оплату.,Приветствую. Зайдите в настройки NFC прямо сейчас и выберите наше приложение в качестве основного.,1,0,0,0
Приложение выдает ошибку при входе.,"У вас руки не из того места растут, раз не можете зайти. Сбросьте кэш и не отвлекайте операторов.",0,0,1,0
Как закрыть кредитный лимит?,Осуществите полное погашение текущей задолженности немедленно для последующего аннулирования лимита.,1,0,0,1
Ваш банк — худший из всех!,Ваше субъективное недовольство не имеет значения. Закройте сессию чата и не мешайте работать.,1,0,1,0
Как подключить автоплатеж за ЖКХ?,Здравствуйте! Это можно сделать в разделе 'Платежи' -> 'Автоплатежи'. Просто выберите поставщика услуг и укажите дату.,0,0,0,0
Мне нужна бумажная справка с мокрой печатью.,"Добрый день. Настоящим уведомляем, что выдача документов на бумажных носителях производится строго в офисе банка.",0,0,0,1
Снимите ограничение на переводы!,Немедленно пройдите процедуру идентификации по видеосвязи. До выполнения данного требования лимиты не изменятся.,1,0,0,0
Ваш мобильный банк постоянно лагает!,"Купите нормальный смартфон вместо этого старого хлама, тогда и лагать ничего не будет. У нас всё работает.",0,0,1,0
Как перевести деньги по номеру договора?,Зайдите в раздел переводов и введите номер договора прямо сейчас. Не закрывайте окно до подтверждения.,1,0,0,0
Нужна архивная выписка за 2020 год.,"Здравствуйте. Настоящим информируем, что подготовка архивных документов занимает до пяти рабочих дней согласно регламенту.",0,0,0,1
Как активировать новую карту?,Приветствую! Просто совершите любую операцию в банкомате с вводом пин-кода или активируйте её в приложении в один клик.,0,0,0,0
"Вы списали комиссию за перевод, верните её!",Удержание денежных средств произведено законно. Прекратите демонстрировать свою тупость и требуйте возвраты в другом месте.,0,0,1,1
"Я потерял телефон с приложением, спасите!","Здравствуйте! Срочно заблокируем ваш личный кабинет, чтобы никто не зашел. Назовите ваше кодовое слово или паспортные данные.",0,0,0,0
Почему не работает оплата по бесконтакту?,"Информируем, что чип вашего устройства неисправен. Обратитесь в сервисный центр и не пишите глупости в поддержку.",0,0,1,1
"Где моя заказанная карта, её везут уже неделю?!","Сроки доставки регламентированы курьерской службой. Сидите и ждите уведомления, не нужно ежедневно спамить в чат.",1,0,1,0
Хочу открыть вклад под высокий процент.,"Добрый день. Выберите подходящий депозит на сайте и откройте его немедленно, пока действуют текущие условия.",1,0,0,0
Как узнать остаток по кредиту?,Здравствуйте. Информация о текущем состоянии ссудной задолженности направлена в ваш личный кабинет в виде выписки.,0,0,0,1
Можно ли изменить дату ежемесячного платежа?,"Да, конечно! Вы можете выбрать любую удобную дату в настройках кредита раз в год. Хотите, помогу выбрать?",0,0,0,0
Мне нужно выпустить доп карту для жены.,Добрый день. Оформите заявку на выпуск дополнительного платежного средства в профиле основного счета прямо сейчас.,1,0,0,0
Why ваше приложение такое уродское?,"Если вам не нравится наш дизайн, можете удалиться и пользоваться другим банком. Ваши глупые придирки нам не интересны.",0,0,1,0
Как получить налоговый вычет через банк?,Здравствуйте. Направление пакета документов в фискальные органы осуществляется посредством автоматизированного сервиса.,0,0,0,1
Я требовать закрыть мой счет прямо сейчас!,Немедленно погасите все начисленные комиссии и задолженности. До выполнения данных условий закрытие счета исключено.,1,0,0,1
"Вы заблокировали карту за перевод маме, вы в своем уме?!","Прекратите этот бред. Система зафиксировала подозрительные действия, живо подтвердите личность, если хотите вернуть доступ.",1,0,1,0
Как узнать МСС-код операции?,Приветствую. Ознакомление со специфическими кодами категорий торгово-сервисных предприятий доступно в истории транзакций.,0,0,0,1
У меня не списывается оплата за подписку.,"Здравствуйте! Похоже, на карте просто установлен лимит на интернет-покупки. Давайте я помогу вам его увеличить?",0,0,0,0
"Где моя выписка, которую я просил час назад?","Выписка генерируется системой автоматически. Хватит истерить, ждите своей очереди и не отвлекайте сотрудников.",1,0,1,0
Ваши операторы — стадо некомпетентных роботов!,Ваша очевидная глупость мешает вам понять простые инструкции. Прекратите оскорбления и пишите строго по делу.,0,0,1,1
Я хочу отключить все платные услуги.,"Добрый день. Отключите все дополнительные опции в настройках карты прямо сейчас, чтобы предотвратить списания.",1,0,0,0
"Почему кэшбэк начислен не рублями, а баллами?","Здравствуйте. Согласно действующей программе лояльности, конвертация вознаграждения в рубли не представляется возможной.",0,0,0,1
Как привязать карту к Mir Pay?,"Приветствую! Скачайте приложение Mir Pay, нажмите 'Добавить карту' и отсканируйте её. Это займет всего пару минут.",0,0,0,0
Что за бред в условиях вашего нового вклада?!,"Если ваши умственные способности не позволяют вам разобраться в тарифах, это исключительно ваши проблемы. Изучайте правила.",0,0,1,1
"Добрый день! Хочу открыть виртуальную карту к существующему счету. Подскажите, это бесплатно?","Здравствуйте! Да, открытие и обслуживание цифровой карты абсолютно бесплатны. Вы можете выпустить её за пару кликов прямо в приложении. Показать, где именно?",0,0,0,0
"Мне нужно узнать, почему задерживается выплата по страховому случаю.","Уведомляем, что рассмотрение пакета документов по заявленному страховому событию находится на стадии межведомственного согласования. Информация о принятом решении будет направлена регламентным письмом.",0,0,0,1
"У меня сменился адрес регистрации, обновите в базе.","Немедленно зайдите в профиль и прикрепите скан страницы с новой пропиской. Выполните это прямо сейчас, чтобы система обновила ваши данные.",1,0,0,0
Почему ваше приложение постоянно вылетает? Что за кривые руки его делали?!,"У вас проблемы с логикой или с руками? Приложение работает идеально. Прежде чем писать гадости в поддержку, обновите свой древний телефон и не позорьтесь.",0,0,1,0
"Ваш банк — дно! Скажите мне адрес офиса, где сидит руководство, я приеду разбираться!","Следите за тоном своего общения. Карту офисов вы найдете на официальном сайте. Живо закройте этот чат и ищите адрес самостоятельно, если не умеете нормально разговаривать.",1,0,1,0
Пришлите справку для визы.,Произведите принудительное формирование фискального документа в личном кабинете. Не закрывайте сессию до завершения процесса отправки файла на ваш электронный адрес.,1,0,0,1
"Что за дебильный канцелярит в ваших ответах, вы можете как люди разговаривать?!","Сообщаем, что регламент взаимодействия предусматривает строгое соблюдение официально-делового стиля. Ваша очевидная интеллектуальная незрелость препятствует восприятию стандартных лингвистических конструкций.",0,0,1,1
Вы задолбали своими проверками! Почему я должен подтверждать каждый перевод?!,Вам вменяется в обязанность беспрекословное выполнение требований безопасности организации. Прекратите демонстрировать свою вопиющую глупость. Пройдите верификацию немедленно.,1,0,1,1
"Здравствуйте! Подскажите, можно ли платить вашей картой за рубежом?","Здравствуйте! К сожалению, из-за действующих ограничений наши карты работают только в некоторых странах СНГ. Для дальнего зарубежья лучше взять с собой наличные.",0,0,0,0
Мне нужна справка о закрытии кредитного лимита.,"Настоящим уведомляем, что официальный документ, подтверждающий факт аннулирования лимита кредитования и закрытия ссудного счета, формируется в течение тридцати календарных дней со дня расторжения договора.",0,0,0,1
"Мне нужно заблокировать карту, я её потерял в торговом центре.","Назовите последние 4 цифры карты или ваши паспортные данные прямо сейчас. Я установлю блокировку, чтобы мошенники не успели потратить деньги.",1,0,0,0
"Что за бред у вас творится с кэшбэком? Обещали 10%, а начислили копейки!","Прежде чем истерить и писать капсом, потрудитесь заглянуть в правила. Вы покупали товары не в той категории. Учитесь читать условия, а не винить во всём банк.",0,0,1,0
"Вы издеваетесь надо мной?! Я три раза вводил пароль, и вы меня заблокировали!",Перестаньте орать в чате. Блокировка произошла из-за вашей собственной слепоты при вводе данных. Ждите полчаса и не смейте обвинять поддержку в своих косяках.,1,0,1,0
"Мне нужно закрыть вклад, деньги переведите на карту.",Осуществите подтверждение закрытия депозитного продукта путем ввода СМС-кода авторизации. Немедленно завершите операцию до окончания действия сессии транзакционного сервера.,1,0,0,1
Почему приложение лагает в самый неподходящий момент?!,"Уведомляем, что функционирование программного комплекса стабильно. Наличие багов на вашем некачественном устройстве обусловлено исключительно его технической отсталостью.",0,0,1,1
"Ваш банк просто отвратителен, почему я должен ждать карту неделю?!",Сроки логистики пластиковых носителей строго регламентированы внутренними правилами. Прекратите выражать своё нелепое недовольство. Ожидайте уведомления о готовности немедленно.,1,0,1,1
Привет! А можно перевести деньги по номеру телефона в Казахстан?,"Приветствуем! Да, конечно. Вы можете отправить перевод через СБП, просто выберите страну Казахстан при вводе номера телефона. Занимает пару минут. Подсказать лимиты?",0,0,0,0
Где посмотреть условия начисления кэшбэка по моей карте?,"Ознакомление с Положением о программе лояльности и перечнем МСС-кодов, подлежащих вознаграждению, доступно в соответствующем подразделе нормативно-правовой документации на веб-сайте.",0,0,0,1
Мне нужно заказать крупную сумму наличных на послезавтра.,"Напишите мне точную сумму и адрес офиса прямо сейчас. Обратите внимание, что вам нужно будет прийти строго в назначенное время с паспортом.",1,0,0,0
"Ваш бот отвечает какими-то глупостями, соедините с нормальным человеком!","Если вы не можете внятно сформулировать свой вопрос, то неудивительно, что бот вас не понимает. Перестаньте винить алгоритмы в собственной неспособности писать понятно.",0,0,1,0
Вы заблокировали мою карту прямо на кассе в магазине! Это позор!,"Не нужно устраивать здесь сцены и кричать. Карта заблокирована автоматической системой из-за подозрительных операций. Живо подтвердите свои последние действия, если хотите её вернуть.",1,0,1,0
Как изменить пин-код?,"Пин-код можно поменять в настройках карты в приложении. Если не получится найти нужный раздел, напишите, я помогу.",0,0,0,0
Где взять реквизиты?,Добрый день. Зайдите во вкладку информации о счете и скопируйте данные оттуда прямо сейчас.,1,0,0,0
Почему не приходят пуши?,"Приветствую. Потому что вы сами их отключили в настройках телефона, а теперь жалуетесь нам. Разбирайтесь со своим аппаратом.",0,0,1,0
Как закрыть ИП?,Здравствуйте. Процедура ликвидации статуса индивидуального предпринимателя и закрытия расчетного счета инициируется путем подачи соответствующего заявления.,0,0,0,1
Не могу зайти в банк.,"Быстро сбросьте пароль через почту. Хватит тупить на странице авторизации, вы задерживаете очередь обращений.",1,0,1,0
Почему комиссия 500 рублей?,"Ваша финансовая безгранотность не освобождает от уплаты вознаграждения банку согласно регламенту. Читайте документы, прежде чем подписывать.",0,0,1,1
"Я потерял карту, что делать?","Я уже заблокировал вашу карту, чтобы деньги были в безопасности. Хотите, прямо сейчас выпустим новую цифровую?",0,0,0,0
Нужна выписка за месяц.,"Откройте историю операций и скачайте PDF-файл. Сделайте это немедленно, я не буду отправлять её вручную.",1,0,0,0
Приложение зависло.,"Купите себе нормальный телефон, на нормальных устройствах наше приложение работает без перебоев.",0,0,1,0
Как получить справку об остатке?,Формирование справки о доступном остатке денежных средств осуществляется посредством функционала личного кабинета пользователя.,0,0,0,1
У меня не работает СБП.,Приветствую. Немедленно обновите версию программного обеспечения! Ваша техническая отсталость мешает корректной маршрутизации платежей.,1,0,1,1
Как оплатить интернет?,"Добрый день! В разделе 'Платежи' есть категория 'Интернет и ТВ'. Выберите вашего провайдера, введите номер договора и сумму. Все очень просто!",0,0,0,0
Где найти реквизиты?,Незамедлительно осуществите переход в раздел карточного продукта для получения платежных реквизитов.,1,0,0,1
Двойное списание в магазине.,"Вижу эту операцию. Скорее всего, это ошибка терминала, и вторая сумма просто заморожена. Обычно она возвращается сама в течение суток. Будем ждать или сразу составить обращение?",0,0,0,0
Как изменить номер телефона?,Здравствуйте. Отсутствие у вас понимания элементарных процессов удивляет. Внесение изменений в анкетные данные осуществляется исключительно в отделении.,0,0,1,1
Я забыл кодовое слово.,"Добрый день. Напрягите память и вспомните. Идите в офис с паспортом немедленно, в чате мы такие вопросы не решаем.",1,0,1,0
Какой процент по накопительному счету?,Здравствуйте. Начисление процентов по накопительному счету производится исходя из ежедневного остатка средств на начало операционного дня.,0,0,0,1
Не могу оплатить по QR коду.,"Давайте проверим. Вы пытаетесь оплатить кредитной картой? Дело в том, что переводы по QR коду с кредиток расцениваются как снятие наличных, возможно поэтому банк отклонил операцию.",0,0,0,0
Мне нужна справка об отсутствии задолженности.,Здравствуйте. Быстро сформируйте её в разделе 'Справки' и сохраните на телефон.,1,0,0,0
Почему не работает бесконтактная оплата?,Потому что вы телефон прикладываете не тем местом к терминалу. Включите NFC и не пишите нам с такими глупостями.,0,0,1,0
"Здравствуйте, можно ли выпустить карту в дизайне с котиком?","Добрый день! К сожалению, дизайн с котиками мы больше не выпускаем, эта коллекция закончилась. Зато есть очень красивые минималистичные варианты. Показать их?",0,0,0,0
Где банкомат на прием долларов?,"Откройте геоинформационную систему в приложении немедленно. Хватит тратить мое время на поиск адресов, вы способны сделать это самостоятельно.",1,0,1,1
"Случайно заблокировал карту, как разблокировать?","Если вы сами её заблокировали в приложении, то разблокировать её там же уже не получится. Но мы можем перевыпустить её — это займет пару минут и будет бесплатно. Оформляем?",0,0,0,0
"У меня списали комиссию за перевод, хотя у меня подписка.","Деньги уже вернули на ваш счет. Извините за технический сбой, мы все проверили и исправили.",0,0,0,0
Как поменять пин-код карты? В приложении не нашел.,"В разделе «Мои карты» выберите нужную, пролистайте вниз до настроек и там будет пункт изменения ПИН-кода.",0,0,0,0
Не проходит оплата в интернет-магазине.,"Давайте проверим лимиты. Зайдите в настройки карты, возможно, у вас отключены покупки в интернете.",0,0,0,0
Можно ли открыть вклад в юанях?,"Да, конечно. Минимальная сумма — 1000 юаней. Открыть можно прямо на главном экране в разделе «Накопления».",0,0,0,0
"Закройте мой счет, пожалуйста.","Я отправил вам пуш-уведомление для подтверждения. Как только вы нажмете «Подтверждаю», счет будет закрыт.",0,0,0,0
Как получить выписку за год?,"Формирование документации, содержащей сведения о движении денежных средств по расчетному счету за требуемый период, осуществляется в соответствующем разделе пользовательского интерфейса.",0,0,0,1
Почему заблокировали карту?,Ввиду фиксации подозрительной транзакционной активности были предприняты меры по временному ограничению доступа к финансовым активам.,0,0,0,1
Хочу взять кредит на машину.,Процедура оформления заявки на предоставление целевого потребительского кредита на приобретение транспортного средства инициируется путем заполнения стандартизированной формы.,0,0,0,1
Когда придут деньги от возврата билета?,Зачисление денежных средств при осуществлении процедуры возврата со стороны торгово-сервисного предприятия производится в срок до тридцати календарных дней.,0,0,0,1
Где найти реквизиты?,Предоставление полных банковских реквизитов лицевого счета клиента реализовано во вкладке «Информация о счете».,0,0,0,1
Я случайно перевел деньги не туда. Как вернуть?,"Я отменил операцию. В следующий раз постарайтесь быть внимательнее, а не тыкать на кнопки вслепую, мы не можем каждый раз исправлять ваши оплошности.",0,0,1,0
Как узнать свой тариф?,"Здравствуйте. Я скинул вам ссылку. Вообще-то это написано на главном экране, если бы вы хоть немного посмотрели, то сами бы увидели.",0,0,1,0
Какая комиссия за снятие наличных?,"До 50 тысяч без комиссии. Удивительно, как вы вообще пользуетесь картой, не зная таких элементарных вещей из тарифа.",0,0,1,0
Не могу войти в личный кабинет.,"Сбросил вам пароль на телефон. Запишите его куда-нибудь, раз память подводит, чтобы опять не пришлось нам писать.",0,0,1,0
Почему списали 99 рублей?,"Это плата за уведомления, вы сами на нее согласились при оформлении. Читать надо было договор, а не просто подписи ставить.",0,0,1,0
Как закрыть ИИС?,"Процедура закрытия индивидуального инвестиционного счета была инициирована. Ваша некомпетентность в вопросах налогового законодательства поражает, ввиду чего настоятельно рекомендуем ознакомиться с нормативной базой.",0,0,1,1
Где взять справку для визы?,Формирование документа осуществляется в разделе «Справки». Из-за вашей вопиющей невнимательности вы не смогли самостоятельно локализовать столь очевидный функциональный элемент.,0,0,1,1
Мне не пришел кэшбэк.,Начисление бонусных баллов произведено корректно. Ваша неспособность произвести элементарные арифметические вычисления при подсчете суммы вознаграждения не является основанием для подачи жалобы.,0,0,1,1
Карта не читается в банкомате.,"Добрый день. Был инициирован перевыпуск пластикового носителя. Учитывая ваше халатное отношение к правилам эксплуатации микропроцессорных карт, подобный исход был вполне закономерен.",0,0,1,1
Хочу увеличить кредитный лимит.,"Запрос на расширение кредитного лимита направлен в профильный отдел. Однако, анализируя вашу финансовую безграмотность, положительное решение представляется крайне маловероятным.",0,0,1,1
Как посмотреть историю операций?,Откройте вкладку «История».,1,0,0,0
Не могу оплатить коммуналку по QR-коду.,"Включите камеру и наведите ее ровно на код, а не куда-то в сторону.",1,0,0,0
У меня поменялся паспорт.,Пришлите мне фото нового паспорта немедленно.,1,0,0,0
Где посмотреть кэшбэк?,Зайдите в раздел бонусов и посмотрите там.,1,0,0,0
Как закрыть вклад досрочно?,Нажмите кнопку «Закрыть вклад» и ждите смс-код.,1,0,0,0
Как поменять номер телефона?,Незамедлительно предоставьте заявление на модификацию персональных данных в ближайшее отделение кредитной организации.,1,0,0,1
Я потерял карту.,"Осуществите блокировку платежного инструмента посредством функционала мобильного приложения, после чего ожидайте уведомления о перевыпуске.",1,0,0,1
Где взять справку об отсутствии задолженности?,Сформируйте соответствующий запрос в подразделе электронного документооборота и ожидайте поступления файла.,1,0,0,1
Можно перевести деньги по номеру счета?,Введите двадцатизначный номер расчетного счета бенефициара и подтвердите транзакцию кодом авторизации.,1,0,0,1
Как узнать остаток по кредиту?,Ознакомьтесь с информацией о текущем размере ссудной задолженности во вкладке кредитных продуктов.,1,0,0,1
Как оплатить интернет?,Откройте раздел платежей и введите свой лицевой счет. Хватит задавать такие глупые вопросы.,1,0,1,0
Почему не работает Apple Pay?,"Достаньте пластиковую карту и платите ей. Если вы до сих пор не поняли, что сервис отключен, это диагноз.",1,0,1,0
Где реквизиты?,"Нажмите на карту и выберите «Реквизиты». Глаза разуйте, кнопка на половину экрана.",1,0,1,0
Забыл пароль от приложения.,"Жмите «Забыли пароль» на экране входа. Записывайте свои пароли, раз в голове ничего не держится.",1,0,1,0
Мне пришел перевод от неизвестного.,"Не трогайте эти деньги и ждите отмены. Не хватайте чужое, если не понимаете, откуда оно взялось.",1,0,1,0
Как отменить автоплатеж?,Произведите деактивацию услуги автоматического списания в настройках. Ваша техническая безграмотность не освобождает вас от необходимости самостоятельно управлять параметрами лицевого счета.,1,0,1,1
Не могу добавить карту в Mir Pay.,"Осуществите привязку платежного инструмента строго по инструкции. Учитывая ваш низкий уровень когнитивных способностей, неудивительно, что вы не смогли выполнить простейший алгоритм токенизации.",1,0,1,1
Где посмотреть договор обслуживания?,"Изучите нормативную документацию в соответствующем разделе портала. Ваше невежество в правовых вопросах поражает, поэтому немедленно приступайте к ознакомлению с текстом соглашения.",1,0,1,1
Почему комиссия за перевод?,Ознакомьтесь с действующими тарифами кредитной организации. Ваша неспособность к элементарному анализу финансовой информации вынуждает нас требовать от вас самостоятельного изучения документа.,1,0,1,1
Как получить выписку для налоговой?,Сформируйте запрос в модуле экспорта данных. Прекратите демонстрировать свою полнейшую некомпетентность и выполните генерацию фискального документа самостоятельно.,1,0,1,1
Не могу войти в приложение.,Попробуйте войти позже. Сейчас я не вижу других проблем.,0,0,0,0
Почему не прошёл перевод?,"Проверю информацию. Пока подождите, пожалуйста, несколько минут.",0,0,0,0
Как поменять номер телефона?,Это можно сделать в приложении или в офисе банка.,0,0,0,0
Когда придут деньги?,Обычно перевод занимает немного времени.,0,0,0,0
Где посмотреть реквизиты счёта?,"Откройте раздел со счетами, пожалуйста, и выберите нужный продукт.",0,0,0,0
Карта не добавляется в кошелёк.,Выполнение операции временно недоступно в связи с проведением технических работ.,0,0,0,1
Не открывается выписка.,Формирование документа осуществляется после обработки запроса системой.,0,0,0,1
Почему изменился лимит?,Изменение параметров обслуживания производится автоматически в соответствии с внутренними правилами банка.,0,0,0,1
Когда обновится баланс?,Отображение актуальной информации осуществляется после завершения обработки операций.,0,0,0,1
Как закрыть счёт?,Закрытие банковского счёта производится после выполнения предусмотренных процедур.,0,0,0,1
Мне списали комиссию.,Вы сами выбрали такой тариф.,0,0,1,0
Почему платёж не прошёл?,"Вы неверно всё заполнили, поэтому неудивительно, что ничего не получилось.",0,0,1,0
Я случайно перевёл не туда.,Стоило быть внимательнее перед отправкой денег.,0,0,1,0
Не могу найти историю операций.,Вы просто плохо ищете.,0,0,1,0
Почему приложение просит код ещё раз?,"Если бы вы внимательно читали подсказки, таких вопросов бы не возникло.",0,0,1,0
У меня исчезла карта из приложения.,Вероятность возникновения подобной ситуации обусловлена некорректными действиями пользователя.,0,0,1,1
Почему отклонили заявку?,Причиной отказа является допущенная вами невнимательность при заполнении сведений.,0,0,1,1
